Loan ID,Disbursed Date,Region,Loan Purpose,Loan Amount (INR),Tenure (months),Interest Rate (%),Applicant Age,Employment Type,Education Level,Marital Status,Monthly Income (INR),Credit Score,EMI (INR),EMI to Income Ratio,Late Payments Count,Loan Status
LN-100070,2021-01-20,West India,Gold Loan,659537.0,24,11.77,39,Self-Employed,Graduate,Married,55604.0,694,30975.9,0.557,0,Fully Paid
LN-102996,2021-01-20,West India,Vehicle Loan,853296.0,36,14.24,38,Salaried,Graduate,Divorced,43651.0,582,29263.2,0.67,0,Fully Paid
LN-104198,2021-01-20,West India,Home Loan,1555902.0,120,8.66,31,Retired,Graduate,Divorced,35531.0,783,19424.35,0.547,0,Active
LN-101658,2021-01-21,West India,Personal Loan,77358.0,24,18.21,21,Business Owner,Graduate,Single,53788.0,717,3869.88,0.072,0,Fully Paid
LN-102673,2021-01-21,East India,Home Loan,4011101.0,240,9.27,53,Salaried,Post-Graduate,Single,82991.0,666,36788.35,0.443,0,Active
LN-103736,2021-01-21,East India,Home Loan,4542789.0,180,10.74,39,Retired,High School,Divorced,38879.0,703,50893.96,1.309,10,Defaulted
LN-104378,2021-01-21,South India,Vehicle Loan,441752.0,36,14.12,50,Salaried,High School,Divorced,27163.0,628,15123.8,0.557,0,Active
LN-106275,2021-01-21,Central India,Vehicle Loan,505328.0,48,9.33,45,Salaried,Post-Graduate,Married,76316.0,671,12654.44,0.166,0,Fully Paid
LN-100334,2021-01-22,South India,Vehicle Loan,255549.0,72,13.69,34,Self-Employed,High School,Single,24430.0,712,5223.45,0.214,0,Active
LN-100434,2021-01-22,Central India,Personal Loan,347931.0,36,17.11,22,Retired,High School,Single,31524.0,598,12423.75,0.394,0,Fully Paid
LN-100603,2021-01-22,North India,Vehicle Loan,680332.0,72,8.65,60,Salaried,Graduate,Divorced,64194.0,659,12145.5,0.189,1,Active
LN-101600,2021-01-22,South India,Vehicle Loan,301266.0,72,11.53,49,Salaried,High School,Divorced,22169.0,759,5816.44,0.262,1,Active
LN-102066,2021-01-23,North India,Home Loan,3687034.0,240,9.22,29,Business Owner,High School,Married,36339.0,640,33696.67,0.927,0,Active
LN-105459,2021-01-23,Central India,Home Loan,1864380.0,120,17.15,39,Business Owner,High School,Married,54425.0,708,32579.91,0.599,1,Active
LN-102872,2021-01-24,West India,Business Loan,4574388.0,60,11.92,21,Self-Employed,High School,Single,29172.0,597,101569.9,3.482,0,Fully Paid
LN-104939,2021-01-24,Central India,Home Loan,2276705.0,120,13.78,51,Retired,High School,Married,22320.0,682,35049.05,1.57,0,Active
LN-101644,2021-01-25,South India,Education Loan,840860.0,120,8.07,60,Retired,High School,Divorced,31292.0,632,10233.08,0.327,2,Active
LN-101988,2021-01-25,North India,Business Loan,946433.0,84,15.19,37,Salaried,High School,Single,18550.0,757,18364.12,0.99,1,Active
LN-106768,2021-01-25,Central India,Personal Loan,110364.0,12,14.15,37,Salaried,Professional Degree,Divorced,130525.0,763,9917.06,0.076,0,Fully Paid
LN-101973,2021-01-26,Central India,Personal Loan,75903.0,24,13.36,21,Salaried,High School,Married,26283.0,747,3621.42,0.138,0,Fully Paid
LN-101548,2021-01-28,North India,Education Loan,1525467.0,84,15.06,36,Self-Employed,Graduate,Single,48269.0,678,29487.94,0.611,0,Active
LN-103057,2021-01-28,East India,Home Loan,4775468.0,240,10.82,38,Salaried,Professional Degree,Divorced,148019.0,651,48708.18,0.329,0,Active
LN-106171,2021-01-28,North India,Home Loan,4252675.0,120,11.54,44,Business Owner,Professional Degree,Divorced,124497.0,546,59888.03,0.481,6,Defaulted
LN-106497,2021-01-29,East India,Gold Loan,160551.0,12,13.28,37,Retired,Professional Degree,Single,102745.0,554,14361.08,0.14,0,Fully Paid
LN-106630,2021-01-29,West India,Vehicle Loan,465217.0,72,12.82,34,Unemployed,Graduate,Single,13003.0,636,9294.68,0.715,5,Written Off
LN-102529,2021-01-30,South India,Personal Loan,120099.0,12,10.26,38,Business Owner,High School,Married,44109.0,670,10573.14,0.24,0,Fully Paid
LN-104496,2021-01-30,Central India,Personal Loan,288936.0,48,7.86,24,Business Owner,Graduate,Single,90453.0,666,7034.8,0.078,0,Fully Paid
LN-106774,2021-01-30,South India,Vehicle Loan,654702.0,36,15.84,36,Salaried,Graduate,Married,44244.0,622,22965.7,0.519,0,Active
LN-100085,2021-01-31,Central India,Education Loan,1878051.0,60,9.79,41,Salaried,Professional Degree,Single,150529.0,790,39709.25,0.264,1,Active
LN-100455,2021-01-31,Central India,Vehicle Loan,908696.0,72,14.0,27,Business Owner,Below High School,Single,21901.0,741,18724.35,0.855,0,Active
LN-101623,2021-01-31,West India,Home Loan,2264940.0,300,11.9,45,Salaried,High School,Single,25139.0,668,23687.7,0.942,1,Active
LN-103286,2021-01-31,North India,Education Loan,1066620.0,84,15.61,54,Salaried,Graduate,Single,45519.0,616,20949.04,0.46,10,Defaulted
LN-105229,2021-01-31,East India,Personal Loan,286643.0,48,11.39,42,Self-Employed,Below High School,Divorced,16203.0,674,7462.84,0.461,0,Active
LN-102492,2021-02-01,Central India,Business Loan,1047169.0,60,15.32,45,Self-Employed,Post-Graduate,Single,83254.0,641,25088.32,0.301,0,Fully Paid
LN-102571,2021-02-01,West India,Gold Loan,404343.0,6,17.77,44,Retired,High School,Married,21875.0,660,70926.07,3.242,0,Fully Paid
LN-105087,2021-02-01,East India,Education Loan,456728.0,120,12.17,52,Salaried,Graduate,Married,48143.0,744,6597.68,0.137,1,Active
LN-105240,2021-02-01,Central India,Business Loan,1686169.0,84,10.22,41,Salaried,Post-Graduate,Single,64754.0,736,28184.45,0.435,1,Active
LN-105860,2021-02-01,South India,Personal Loan,479033.0,24,14.7,37,Self-Employed,Post-Graduate,Married,62064.0,614,23158.48,0.373,0,Active
LN-102401,2021-02-02,West India,Education Loan,1484132.0,120,17.97,27,Business Owner,Professional Degree,Divorced,159257.0,724,26713.2,0.168,1,Active
LN-104830,2021-02-02,West India,Home Loan,5591797.0,240,14.36,22,Business Owner,High School,Married,53845.0,749,71001.94,1.319,1,Active
LN-100493,2021-02-03,Central India,Home Loan,1517328.0,120,14.31,34,Self-Employed,Post-Graduate,Divorced,53051.0,660,23842.65,0.449,7,Written Off
LN-100909,2021-02-03,South India,Home Loan,1621682.0,120,8.99,56,Business Owner,Graduate,Single,84361.0,712,20534.01,0.243,0,Active
LN-104276,2021-02-03,West India,Home Loan,3819354.0,180,11.4,47,Retired,Professional Degree,Divorced,68349.0,587,44374.79,0.649,3,Restructured
LN-102225,2021-02-04,North India,Gold Loan,189564.0,24,15.34,45,Self-Employed,Post-Graduate,Married,94800.0,591,9221.97,0.097,0,Fully Paid
LN-102714,2021-02-04,South India,Business Loan,4701670.0,60,8.54,37,Salaried,High School,Divorced,28008.0,614,96552.63,3.447,2,Active
LN-100037,2021-02-05,East India,Vehicle Loan,736620.0,72,8.41,29,Salaried,Graduate,Married,64775.0,725,13063.3,0.202,1,Active
LN-101584,2021-02-05,East India,Education Loan,369421.0,36,15.37,54,Salaried,Graduate,Divorced,34155.0,774,12873.14,0.377,0,Fully Paid
LN-102346,2021-02-05,Central India,Business Loan,1506363.0,36,16.09,30,Business Owner,Post-Graduate,Married,107385.0,676,53026.21,0.494,0,Fully Paid
LN-105929,2021-02-05,North India,Home Loan,4924889.0,120,14.31,36,Salaried,Below High School,Married,13632.0,712,77387.62,5.677,5,Written Off
LN-102411,2021-02-06,North India,Business Loan,2688781.0,24,11.62,35,Self-Employed,Below High School,Married,20637.0,623,126093.64,6.11,10,Written Off
LN-103311,2021-02-06,South India,Vehicle Loan,783488.0,60,15.97,41,Unemployed,High School,Married,7207.0,595,19040.42,2.642,0,Fully Paid
LN-104667,2021-02-06,South India,Home Loan,3376079.0,120,8.14,27,Salaried,Post-Graduate,Divorced,101571.0,773,41211.33,0.406,0,Active
LN-104669,2021-02-06,West India,Personal Loan,496957.0,24,16.01,27,Self-Employed,Professional Degree,Married,84097.0,613,24334.94,0.289,0,Fully Paid
LN-105400,2021-02-06,North India,Personal Loan,125450.0,12,9.96,42,Salaried,Graduate,Single,53954.0,688,11026.71,0.204,0,Fully Paid
LN-100422,2021-02-07,North India,Gold Loan,304568.0,6,9.26,21,Self-Employed,Post-Graduate,Single,57611.0,577,52141.09,0.905,3,Defaulted
LN-101867,2021-02-07,North India,Home Loan,4744072.0,240,16.72,25,Self-Employed,Post-Graduate,Divorced,70205.0,682,68577.74,0.977,0,Active
LN-103387,2021-02-07,South India,Personal Loan,106565.0,48,13.35,55,Self-Employed,High School,Divorced,26950.0,643,2877.42,0.107,0,Fully Paid
LN-103410,2021-02-07,North India,Business Loan,4556093.0,36,12.49,27,Salaried,Below High School,Single,27150.0,699,152395.98,5.613,0,Fully Paid
LN-103161,2021-02-09,East India,Home Loan,4406570.0,180,17.01,51,Self-Employed,High School,Married,21702.0,554,67848.53,3.126,3,Defaulted
LN-103899,2021-02-09,South India,Vehicle Loan,794147.0,72,13.62,40,Retired,Post-Graduate,Married,109186.0,789,16202.83,0.148,1,Active
LN-105717,2021-02-09,South India,Business Loan,4476322.0,24,13.79,51,Salaried,Graduate,Single,61910.0,788,214477.31,3.464,0,Fully Paid
LN-103460,2021-02-10,South India,Home Loan,5114402.0,240,12.06,21,Salaried,Graduate,Divorced,33723.0,775,56528.05,1.676,1,Active
LN-105738,2021-02-10,South India,Personal Loan,220040.0,36,15.69,30,Business Owner,High School,Divorced,40966.0,634,7702.32,0.188,0,Fully Paid
LN-105766,2021-02-10,Central India,Business Loan,1846177.0,84,10.24,43,Salaried,Graduate,Single,55761.0,618,30878.15,0.554,11,Defaulted
LN-106549,2021-02-11,East India,Vehicle Loan,1180665.0,72,13.74,22,Unemployed,Post-Graduate,Divorced,26136.0,582,24164.41,0.925,0,Active
LN-100104,2021-02-12,Central India,Business Loan,2585397.0,36,8.67,34,Salaried,High School,Single,36313.0,665,81818.43,2.253,0,Fully Paid
LN-104060,2021-02-12,East India,Education Loan,1587447.0,36,8.89,28,Salaried,Post-Graduate,Divorced,49795.0,617,50399.16,1.012,0,Fully Paid
LN-104549,2021-02-12,South India,Business Loan,4640170.0,36,12.07,30,Salaried,Graduate,Divorced,65594.0,633,154275.23,2.352,0,Fully Paid
LN-104979,2021-02-12,West India,Agriculture Loan,932544.0,12,9.04,62,Self-Employed,High School,Divorced,19384.0,632,81569.65,4.208,0,Fully Paid
LN-105818,2021-02-12,East India,Business Loan,3979474.0,84,17.9,44,Salaried,High School,Divorced,28007.0,739,83406.85,2.978,1,Active
LN-106270,2021-02-12,North India,Home Loan,1645053.0,180,7.67,27,Retired,Below High School,Single,16589.0,622,15409.2,0.929,2,Active
LN-106766,2021-02-12,East India,Vehicle Loan,616841.0,48,14.39,48,Salaried,High School,Married,20384.0,757,16977.02,0.833,1,Active
LN-100355,2021-02-13,West India,Gold Loan,497724.0,12,14.01,29,Retired,Graduate,Married,66194.0,676,44691.55,0.675,7,Written Off
LN-103550,2021-02-13,South India,Personal Loan,309273.0,36,8.66,38,Self-Employed,Post-Graduate,Divorced,63108.0,720,9785.93,0.155,0,Fully Paid
LN-103702,2021-02-13,South India,Vehicle Loan,256463.0,36,16.53,43,Self-Employed,Post-Graduate,Married,86935.0,686,9083.73,0.104,0,Fully Paid
LN-103945,2021-02-13,Central India,Personal Loan,140868.0,24,9.77,26,Self-Employed,Professional Degree,Married,135085.0,679,6485.4,0.048,0,Fully Paid
LN-104026,2021-02-13,Central India,Home Loan,4118213.0,120,16.68,43,Business Owner,Graduate,Single,59257.0,809,70740.7,1.194,12,Defaulted
LN-100276,2021-02-14,Central India,Personal Loan,104367.0,36,11.72,43,Self-Employed,Graduate,Divorced,47357.0,643,3452.54,0.073,0,Active
LN-100577,2021-02-14,North India,Home Loan,3462284.0,300,9.13,24,Salaried,Graduate,Married,47063.0,563,29364.2,0.624,1,Active
LN-102224,2021-02-15,East India,Home Loan,3390972.0,300,13.28,37,Salaried,High School,Married,19417.0,746,38961.24,2.007,6,Defaulted
LN-102669,2021-02-15,Central India,Business Loan,2806049.0,84,16.72,34,Salaried,High School,Married,18431.0,694,56890.72,3.087,0,Active
LN-102735,2021-02-15,South India,Home Loan,5796760.0,120,16.37,30,Salaried,Graduate,Married,31816.0,745,98444.16,3.094,1,Active
LN-103466,2021-02-15,East India,Home Loan,4257819.0,180,8.65,22,Retired,Graduate,Divorced,56453.0,520,42303.64,0.749,3,Restructured
LN-105303,2021-02-15,West India,Vehicle Loan,993909.0,36,11.0,21,Salaried,High School,Single,32966.0,718,32539.31,0.987,0,Active
LN-106576,2021-02-16,Central India,Personal Loan,438952.0,24,17.74,25,Salaried,Post-Graduate,Divorced,96879.0,742,21859.18,0.226,0,Fully Paid
LN-102028,2021-02-17,West India,Vehicle Loan,1152704.0,60,8.61,45,Retired,Post-Graduate,Divorced,55944.0,710,23710.65,0.424,0,Fully Paid
LN-104839,2021-02-18,West India,Education Loan,510382.0,36,10.03,42,Salaried,High School,Single,24221.0,781,16475.78,0.68,0,Fully Paid
LN-104870,2021-02-18,West India,Gold Loan,614265.0,12,12.75,51,Unemployed,Post-Graduate,Single,31069.0,594,54792.45,1.764,0,Fully Paid
LN-101037,2021-02-19,East India,Education Loan,1197278.0,60,13.42,36,Unemployed,Post-Graduate,Single,20723.0,602,27499.86,1.327,10,Written Off
LN-102792,2021-02-19,West India,Gold Loan,569830.0,12,14.33,21,Self-Employed,Professional Degree,Divorced,117294.0,689,51251.91,0.437,0,Fully Paid
LN-106250,2021-02-19,East India,Business Loan,2024458.0,60,8.58,26,Self-Employed,Post-Graduate,Married,97091.0,640,41612.96,0.429,2,Active
LN-100670,2021-02-20,South India,Home Loan,2900251.0,240,17.61,43,Retired,Professional Degree,Married,71803.0,662,43891.36,0.611,3,Defaulted
LN-103223,2021-02-20,South India,Home Loan,4068395.0,120,14.49,31,Salaried,Professional Degree,Married,74555.0,674,64372.63,0.863,1,Active
LN-101199,2021-02-21,Central India,Gold Loan,630481.0,12,14.69,43,Salaried,High School,Single,32373.0,679,56813.97,1.755,0,Fully Paid
LN-102315,2021-02-21,North India,Education Loan,970015.0,120,8.24,25,Self-Employed,Post-Graduate,Married,95710.0,659,11892.33,0.124,1,Active
LN-102416,2021-02-21,East India,Gold Loan,228362.0,12,8.89,33,Salaried,Graduate,Married,67850.0,760,19958.95,0.294,0,Fully Paid
LN-102508,2021-02-21,West India,Home Loan,4627277.0,240,12.59,23,Retired,Post-Graduate,Single,77035.0,695,52866.24,0.686,1,Active
LN-103817,2021-02-21,Central India,Business Loan,2059684.0,24,11.35,21,Self-Employed,Post-Graduate,Single,91104.0,707,96332.45,1.057,0,Fully Paid
LN-103946,2021-02-21,Central India,Personal Loan,189238.0,12,14.82,65,Unemployed,Professional Degree,Divorced,45425.0,489,17064.23,0.376,4,Restructured
LN-106122,2021-02-21,Central India,Home Loan,3033372.0,180,9.52,31,Self-Employed,High School,Single,21010.0,692,31711.84,1.509,1,Active
LN-106572,2021-02-21,North India,Education Loan,1352069.0,60,13.2,37,Self-Employed,Graduate,Married,56792.0,557,30902.33,0.544,0,Fully Paid
LN-100679,2021-02-22,Central India,Personal Loan,255269.0,24,18.26,41,Salaried,Graduate,Single,67184.0,751,12776.17,0.19,0,Fully Paid
LN-101227,2021-02-22,West India,Home Loan,2348700.0,300,12.81,35,Self-Employed,Professional Degree,Divorced,108922.0,641,26154.01,0.24,3,Active
LN-102276,2021-02-22,West India,Vehicle Loan,281073.0,36,12.1,37,Business Owner,Post-Graduate,Single,107385.0,704,9349.08,0.087,0,Fully Paid
LN-103105,2021-02-22,Central India,Vehicle Loan,935016.0,72,8.7,46,Self-Employed,Post-Graduate,Divorced,84302.0,707,16715.29,0.198,0,Active
LN-104103,2021-02-22,South India,Agriculture Loan,468129.0,12,13.25,37,Self-Employed,Graduate,Divorced,39502.0,624,41866.93,1.06,2,Active
LN-100835,2021-02-23,South India,Vehicle Loan,394975.0,72,11.56,26,Retired,Graduate,Married,38074.0,709,7631.76,0.2,0,Active
LN-101908,2021-02-23,West India,Personal Loan,135013.0,12,15.26,47,Unemployed,High School,Single,6086.0,500,12202.62,2.005,3,Written Off
LN-101488,2021-02-24,North India,Home Loan,2586644.0,300,10.98,46,Business Owner,Graduate,Divorced,109122.0,800,25314.64,0.232,0,Active
LN-103862,2021-02-24,South India,Business Loan,2681933.0,36,11.89,34,Business Owner,Professional Degree,Married,204183.0,767,88937.72,0.436,0,Fully Paid
LN-103889,2021-02-24,East India,Home Loan,3618542.0,240,17.86,39,Self-Employed,Professional Degree,Single,93519.0,751,55455.81,0.593,9,Defaulted
LN-104965,2021-02-24,North India,Personal Loan,349221.0,36,11.39,23,Retired,High School,Divorced,18795.0,646,11497.65,0.612,3,Defaulted
LN-105249,2021-02-24,West India,Business Loan,1683361.0,84,13.71,36,Salaried,Graduate,Divorced,51521.0,666,31277.15,0.607,0,Active
